Kennziffer;Raumeinheit;Aggregat;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Einpendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Auspendler;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendlersaldo;Pendler mit Arbeitsweg 50 km und mehr;Pendler mit Arbeitsweg 50 km und mehr;Pendler mit Arbeitsweg 50 km und mehr;Pendler mit Arbeitsweg 50 km und mehr;Pendler mit Arbeitsweg 50 km und mehr;Pendler mit Arbeitsweg 50 km und mehr;Pendler mit Arbeitsweg 50 km und mehr;Pendler mit Arbeitsweg 150 km und mehr;Pendler mit Arbeitsweg 150 km und mehr;Pendler mit Arbeitsweg 150 km und mehr;Pendler mit Arbeitsweg 150 km und mehr;Pendler mit Arbeitsweg 150 km und mehr;Pendler mit Arbeitsweg 150 km und mehr;Pendler mit Arbeitsweg 150 km und mehr;Pendler mit Arbeitsweg 300 km und mehr;Pendler mit Arbeitsweg 300 km und mehr;Pendler mit Arbeitsweg 300 km und mehr;Pendler mit Arbeitsweg 300 km und mehr;Pendler mit Arbeitsweg 300 km und mehr;Pendler mit Arbeitsweg 300 km und mehr;Pendler mit Arbeitsweg 300 km und mehr;Nahversorgung Haltestellen des ÖV Anteil der Bev. 1km Radius;Nahversorgung Haltestellen des ÖV Durchschnittsdistanz;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;Pkw-Dichte;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Arbeitsort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort;sozialversicherungspflichtig Beschäftigte am Wohnort
;;;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2013;2014;2015;2016;2017;2018;2019;2013;2014;2015;2016;2017;2018;2019;2013;2014;2015;2016;2017;2018;2019;2018;2018;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
"01001";"Flensburg, Stadt";"kreisfreie Stadt";"47,48";"48,25";"48,87";"49,67";"49,74";"49,87";"50,21";"50,67";"51,74";"53,34";"53,88";"53,44";"53,46";"52,97";"52,73";"52,32";"52,66";"52,27";"52,04";"52,34";"52,37";"52,76";"52,38";"23,57";"23,61";"25,19";"25,31";"26,30";"25,59";"26,05";"27,24";"27,45";"27,92";"28,95";"29,85";"30,67";"30,55";"31,68";"32,45";"31,61";"32,20";"32,06";"33,11";"34,16";"34,21";"34,33";"31,28";"32,25";"31,44";"32,61";"31,81";"32,63";"32,67";"32,20";"33,48";"35,26";"35,09";"33,63";"32,87";"32,28";"30,81";"29,41";"30,78";"29,67";"29,42";"28,73";"27,68";"28,20";"27,50";"11,78";"12,23";"12,75";"13,42";"13,99";"14,13";"14,33";"5,82";"5,84";"6,36";"6,95";"7,73";"8,11";"8,36";"2,22";"2,32";"2,78";"3,26";"3,65";"4,05";"4,57";"100,00";"180,00";"437,11";"444,73";"452,53";"457,00";"454,05";"454,35";"466,07";"472,81";"471,28";"472,31";"523,86";"607,15";"598,39";"418,30";"428,72";"436,73";"476,90";"472,47";"474,45";"474,44";"475,54";"473,97";"478,10";"481,26";"486,03";"37.547";"37.608";"37.916";"39.006";"37.711";"37.575";"36.094";"35.238";"35.130";"36.517";"37.397";"37.177";"36.452";"36.759";"36.929";"36.808";"39.028";"39.461";"40.772";"41.453";"42.517";"44.045";"44.607";"25.803";"25.480";"25.916";"26.285";"25.716";"25.315";"24.302";"23.892";"23.370";"23.640";"24.273";"24.674";"24.471";"24.893";"25.551";"25.981";"27.016";"27.702";"28.762";"29.516";"30.733";"31.610";"32.323"
"01002";"Kiel, Stadt";"kreisfreie Stadt";"43,48";"44,44";"44,61";"45,15";"45,98";"46,23";"46,97";"47,99";"48,94";"49,03";"49,19";"49,62";"49,64";"49,23";"49,06";"48,97";"48,84";"49,81";"49,82";"49,50";"49,14";"49,20";"49,00";"21,58";"22,16";"23,43";"24,39";"25,43";"24,94";"25,01";"25,70";"26,02";"26,46";"26,93";"27,76";"28,69";"28,70";"28,90";"29,10";"29,38";"29,26";"29,30";"30,35";"30,26";"30,37";"30,41";"27,93";"28,62";"27,41";"27,46";"27,56";"28,36";"29,29";"30,00";"30,98";"30,70";"30,47";"30,26";"29,37";"28,79";"28,35";"28,03";"27,56";"29,08";"29,03";"27,48";"27,07";"27,05";"26,73";"12,08";"12,10";"12,33";"13,32";"13,11";"13,33";"12,93";"3,74";"3,82";"4,02";"4,64";"4,58";"4,65";"4,55";"2,61";"2,77";"2,96";"3,32";"3,37";"3,50";"3,43";"100,00";"193,00";"430,41";"435,95";"441,50";"441,51";"439,77";"434,58";"443,47";"446,62";"447,80";"447,26";"445,82";"453,67";"454,65";"398,02";"397,48";"402,01";"412,19";"415,75";"418,58";"420,73";"421,79";"427,41";"435,51";"440,53";"446,35";"102.161";"101.149";"101.133";"104.020";"103.769";"103.464";"100.941";"99.637";"98.930";"100.359";"101.947";"104.460";"104.052";"104.320";"106.191";"108.563";"110.440";"114.966";"117.468";"119.463";"121.304";"123.935";"125.483";"73.626";"72.202";"73.165";"75.457";"75.168";"74.122";"71.376";"69.748";"68.279";"69.547";"70.881";"72.853";"73.491";"74.283";"76.085";"78.134";"80.005";"81.444";"83.336";"86.561";"88.428";"90.376";"91.908"
"01003";"Lübeck, Stadt";"kreisfreie Stadt";"36,83";"37,68";"38,79";"39,64";"40,38";"40,66";"41,36";"42,72";"43,77";"44,54";"44,98";"45,59";"45,46";"45,53";"45,29";"44,90";"44,09";"43,33";"43,38";"43,51";"43,56";"44,14";"44,22";"23,22";"23,79";"24,41";"25,84";"25,95";"25,82";"25,89";"26,81";"27,83";"28,29";"28,41";"28,75";"28,68";"28,76";"28,97";"29,52";"29,05";"29,57";"30,39";"31,29";"31,27";"31,25";"31,02";"17,73";"18,22";"18,98";"18,62";"19,49";"20,00";"20,88";"21,74";"22,09";"22,66";"23,14";"23,63";"23,53";"23,53";"22,98";"21,83";"21,20";"19,60";"18,67";"17,76";"17,88";"18,76";"19,16";"13,77";"14,05";"14,61";"15,18";"15,02";"14,96";"14,76";"3,42";"3,36";"3,63";"4,06";"3,92";"3,90";"3,98";"2,59";"2,47";"2,66";"3,04";"2,96";"2,98";"3,13";"99,00";"276,00";"430,64";"445,29";"450,34";"452,78";"440,52";"438,88";"448,58";"450,86";"450,24";"455,11";"456,52";"462,72";"463,42";"407,04";"409,23";"411,96";"418,10";"423,47";"427,42";"428,28";"431,48";"437,01";"443,93";"448,05";"454,81";"80.390";"79.649";"80.363";"80.618";"80.824";"80.301";"78.881";"76.810";"75.551";"76.968";"78.794";"81.197";"81.478";"83.266";"85.213";"86.220";"88.550";"88.888";"90.325";"92.547";"95.055";"97.350";"99.053";"66.134";"65.135";"65.071";"65.610";"65.071";"64.240";"62.414";"60.115";"58.861";"59.530";"60.564";"62.009";"62.309";"63.673";"65.635";"67.402";"69.777";"71.336";"73.437";"76.039";"78.029";"79.057";"80.035"
"01004";"Neumünster, Stadt";"kreisfreie Stadt";"38,83";"39,63";"40,66";"42,18";"44,00";"44,83";"46,16";"47,04";"48,92";"49,96";"50,73";"52,37";"53,03";"52,87";"53,74";"53,20";"53,40";"53,41";"53,40";"54,63";"54,49";"54,95";"54,91";"26,97";"27,81";"29,18";"30,77";"31,60";"32,10";"32,59";"33,24";"35,12";"36,04";"36,65";"37,38";"37,27";"37,23";"38,11";"38,36";"38,14";"38,61";"39,11";"38,76";"38,62";"39,05";"38,98";"16,23";"16,37";"16,16";"16,49";"18,14";"18,74";"20,13";"20,68";"21,27";"21,76";"22,22";"23,93";"25,13";"24,92";"25,26";"24,07";"24,67";"24,19";"23,48";"25,91";"25,88";"26,11";"26,12";"13,46";"13,82";"14,29";"14,53";"14,71";"14,77";"14,64";"3,37";"3,72";"3,85";"4,12";"4,41";"4,32";"4,37";"2,64";"2,88";"3,06";"3,36";"3,64";"3,58";"3,67";"100,00";"187,00";"484,92";"492,08";"495,78";"497,72";"499,83";"503,83";"514,50";"514,44";"517,90";"519,37";"524,32";"531,71";"532,74";"470,03";"470,82";"477,59";"484,97";"493,48";"500,38";"500,68";"496,34";"501,81";"513,97";"520,17";"523,09";"31.786";"31.263";"30.767";"31.130";"31.344";"30.836";"30.206";"29.653";"28.618";"28.862";"29.773";"31.203";"31.718";"31.895";"32.796";"32.944";"34.182";"34.763";"35.282";"37.441";"38.476";"39.625";"40.641";"26.627";"26.145";"25.780";"25.998";"25.659";"25.056";"24.125";"23.522";"22.531";"22.582";"23.157";"23.736";"23.748";"23.946";"24.512";"25.014";"25.751";"26.311";"26.992";"27.715";"28.506";"29.261";"30.015"
"01051";"Dithmarschen";"Landkreis";"11,72";"11,63";"11,98";"12,64";"14,89";"12,80";"12,73";"13,44";"14,29";"15,04";"16,47";"16,70";"16,78";"15,98";"16,11";"15,67";"15,61";"16,23";"16,12";"15,51";"15,82";"16,05";"16,05";"21,37";"21,83";"22,24";"23,48";"23,18";"23,21";"23,63";"24,35";"25,21";"25,50";"25,92";"26,12";"27,27";"27,07";"26,74";"27,06";"26,46";"26,68";"26,92";"27,28";"26,79";"26,93";"26,70";"-12,28";"-13,04";"-13,16";"-14,17";"-10,79";"-13,56";"-14,28";"-14,42";"-14,61";"-14,05";"-12,77";"-12,76";"-14,42";"-15,21";"-14,50";"-15,63";"-14,76";"-14,20";"-14,77";"-16,15";"-14,96";"-14,88";"-14,50";"16,32";"16,57";"16,92";"17,33";"16,73";"16,86";"16,76";"3,40";"3,32";"3,79";"4,23";"4,04";"3,97";"4,03";"2,58";"2,56";"2,98";"3,29";"3,13";"3,00";"3,09";"87,00";"576,00";"516,71";"519,96";"521,64";"522,06";"525,34";"530,57";"544,56";"549,22";"550,67";"556,38";"562,39";"575,18";"581,02";"512,67";"515,84";"524,41";"538,25";"547,78";"555,18";"560,34";"565,35";"572,99";"582,88";"594,50";"605,82";"35.371";"35.138";"35.452";"35.698";"36.246";"35.074";"33.539";"32.771";"32.509";"32.982";"33.747";"34.399";"34.293";"34.573";"35.588";"35.610";"37.333";"38.100";"38.622";"39.035";"40.587";"41.278";"42.518";"39.716";"39.721";"40.131";"40.757";"40.158";"39.831";"38.328";"37.497";"37.257";"37.616";"38.056";"38.787";"39.238";"39.832";"40.747";"41.175";"42.844";"43.459";"44.315";"45.324";"46.641";"47.404";"48.664"
"01053";"Herzogtum Lauenburg";"Landkreis";"31,63";"32,56";"33,50";"34,76";"35,87";"35,82";"36,38";"36,98";"37,25";"37,62";"37,68";"37,55";"37,48";"37,68";"38,25";"37,88";"37,37";"37,27";"37,28";"38,14";"38,75";"38,40";"38,50";"54,10";"54,49";"54,62";"56,06";"56,94";"57,43";"57,73";"58,63";"59,49";"59,78";"59,86";"60,10";"60,29";"60,28";"60,54";"60,22";"59,69";"60,00";"59,98";"60,23";"60,21";"60,30";"60,25";"-48,93";"-48,17";"-46,57";"-48,46";"-48,93";"-50,76";"-50,52";"-52,34";"-54,89";"-55,08";"-55,25";"-56,49";"-57,44";"-56,90";"-56,49";"-56,13";"-55,36";"-56,59";"-56,68";"-55,38";"-53,86";"-55,08";"-54,68";"15,57";"15,72";"15,67";"15,76";"15,59";"15,53";"15,36";"3,90";"3,76";"3,88";"4,04";"4,14";"4,24";"4,22";"2,69";"2,63";"2,72";"2,84";"2,94";"2,99";"2,94";"94,00";"343,00";"527,09";"533,04";"537,13";"539,46";"540,95";"544,75";"560,18";"560,36";"563,90";"565,70";"567,94";"577,32";"583,47";"521,38";"525,12";"533,48";"541,51";"548,61";"549,98";"557,23";"559,47";"564,00";"571,92";"578,31";"585,58";"38.497";"38.858";"39.580";"39.700";"39.629";"39.386";"39.116";"38.175";"37.458";"38.041";"38.721";"39.285";"39.413";"40.241";"41.104";"42.091";"43.219";"43.902";"44.714";"45.468";"47.177";"47.871";"48.811";"57.334";"57.576";"58.000";"58.938";"59.019";"59.379";"58.876";"58.156";"58.019";"58.994";"60.116";"61.479";"62.052";"63.140";"64.323";"65.716";"67.143";"68.675";"70.054";"70.687";"72.570";"74.216";"75.481"
"01054";"Nordfriesland";"Landkreis";"10,37";"10,72";"11,64";"13,09";"13,53";"13,06";"13,78";"13,80";"13,93";"14,56";"15,19";"15,66";"16,05";"16,16";"15,44";"15,61";"16,47";"15,90";"16,25";"17,36";"17,17";"17,24";"16,69";"14,72";"14,76";"15,88";"16,63";"17,02";"16,52";"17,04";"17,53";"17,71";"18,08";"18,30";"18,49";"18,25";"17,77";"17,71";"17,56";"17,83";"18,95";"19,04";"19,24";"19,31";"19,34";"19,43";"-5,09";"-4,73";"-5,00";"-4,26";"-4,21";"-4,14";"-3,93";"-4,52";"-4,60";"-4,29";"-3,81";"-3,48";"-2,70";"-1,95";"-2,76";"-2,37";"-1,66";"-3,71";"-3,43";"-2,31";"-2,64";"-2,59";"-3,40";"13,82";"15,09";"15,14";"15,25";"15,15";"14,96";"14,87";"5,03";"5,74";"5,76";"5,98";"6,10";"6,25";"6,15";"2,43";"2,87";"2,86";"3,04";"3,19";"3,28";"3,22";"75,00";"721,00";"523,67";"527,12";"532,03";"535,39";"542,51";"551,03";"570,92";"574,76";"575,88";"581,97";"584,20";"596,28";"601,43";"531,09";"533,01";"542,97";"559,27";"568,69";"574,93";"578,21";"578,65";"583,85";"594,61";"604,53";"613,23";"46.960";"46.759";"46.948";"47.817";"47.404";"47.652";"46.243";"45.650";"45.259";"45.860";"47.114";"47.876";"49.116";"50.552";"51.393";"52.213";"54.314";"55.094";"56.217";"57.711";"59.265";"60.338";"60.989";"49.352";"48.971";"49.313";"49.852";"49.398";"49.626";"48.061";"47.715";"47.339";"47.829";"48.909";"49.540";"50.441";"51.539";"52.811";"53.448";"55.213";"57.011";"58.133";"59.009";"60.794";"61.871";"63.047"
"01055";"Ostholstein";"Landkreis";"22,24";"22,92";"23,86";"24,93";"24,93";"24,63";"24,51";"24,48";"24,86";"25,34";"26,06";"25,88";"25,47";"25,01";"25,07";"25,33";"25,15";"25,79";"25,70";"26,16";"26,35";"26,45";"26,26";"33,80";"34,18";"34,67";"35,29";"35,46";"35,55";"35,91";"36,34";"36,84";"37,53";"38,38";"39,00";"39,08";"39,17";"38,74";"38,19";"38,04";"38,11";"38,04";"37,39";"37,62";"37,76";"37,63";"-17,46";"-17,11";"-16,48";"-16,01";"-16,31";"-16,95";"-17,78";"-18,64";"-18,97";"-19,51";"-20,00";"-21,52";"-22,34";"-23,28";"-22,32";"-20,80";"-20,80";"-19,80";"-19,90";"-17,88";"-18,05";"-18,16";"-18,23";"15,02";"15,18";"15,28";"15,24";"15,16";"15,43";"15,33";"4,12";"4,12";"4,33";"4,36";"4,41";"4,51";"4,56";"2,80";"2,73";"2,83";"2,90";"2,95";"3,07";"3,16";"88,00";"528,00";"500,67";"514,28";"521,69";"524,87";"526,56";"532,27";"545,36";"550,76";"556,72";"564,70";"570,93";"584,68";"592,24";"524,02";"524,23";"526,93";"552,74";"565,77";"575,82";"580,89";"582,48";"589,66";"601,16";"611,09";"620,26";"52.379";"51.972";"52.124";"52.649";"52.503";"52.040";"50.673";"49.641";"49.136";"49.160";"49.587";"49.775";"49.681";"50.064";"51.718";"53.596";"55.000";"56.435";"57.090";"58.814";"60.245";"61.484";"62.095";"61.526";"60.863";"60.746";"61.076";"61.064";"60.860";"59.682";"58.892";"58.456";"58.753";"59.502";"60.485";"60.780";"61.717";"63.264";"64.743";"66.442";"67.496";"68.436";"69.315";"71.107";"72.643";"73.403"
"01056";"Pinneberg";"Landkreis";"30,52";"31,50";"33,05";"34,92";"35,10";"34,60";"35,07";"36,36";"36,67";"37,29";"37,67";"38,20";"38,50";"38,12";"38,58";"38,21";"37,30";"36,99";"37,20";"38,04";"38,17";"38,10";"37,92";"48,86";"48,91";"48,85";"49,46";"49,75";"49,81";"50,03";"50,81";"51,67";"52,54";"52,95";"53,62";"53,65";"53,75";"53,95";"54,21";"53,90";"54,83";"54,98";"54,77";"54,62";"55,05";"55,24";"-35,87";"-34,08";"-30,82";"-28,77";"-29,15";"-30,30";"-29,95";"-29,36";"-31,04";"-32,13";"-32,47";"-33,25";"-32,68";"-33,79";"-33,38";"-34,93";"-36,02";"-39,32";"-39,49";"-36,91";"-36,21";"-37,68";"-38,67";"6,86";"7,52";"7,58";"7,41";"7,23";"7,60";"7,66";"3,81";"3,96";"4,06";"3,99";"4,10";"4,30";"4,35";"3,07";"3,19";"3,27";"3,17";"3,30";"3,45";"3,52";"96,00";"330,00";"508,48";"511,86";"515,86";"518,42";"520,89";"526,96";"537,32";"541,98";"544,37";"546,35";"546,77";"552,67";"556,33";"502,15";"502,62";"507,38";"525,78";"531,26";"533,84";"534,02";"537,38";"540,88";"544,73";"551,36";"553,16";"74.724";"74.917";"76.780";"78.674";"78.942";"77.917";"76.523";"75.990";"74.575";"74.600";"76.078";"77.605";"79.052";"78.978";"80.857";"82.682";"83.667";"83.333";"85.045";"88.260";"90.747";"91.817";"92.689";"101.524";"100.450";"100.508";"101.310";"101.956";"101.527";"99.445";"98.303";"97.722";"98.569";"100.781";"103.412";"104.890";"105.666";"107.847";"111.565";"113.801";"115.992";"118.633";"120.852";"123.583";"126.377";"128.499"
