,Jahr,fueltype,value
0,2020,Benzin,289.596512036549
1,2021,Benzin,289.2483920635094
2,2020,Diesel,114.63824459673168
3,2021,Diesel,113.2598796641078
4,2020,Elektro,1.4057283429977157
5,2021,Elektro,2.615285497450233
6,2020,Gas (einschl. bivalent),4.453303461606045
7,2021,Gas (einschl. bivalent),4.33514965548118
8,2020,Hybrid,6.660736250219645
9,2021,Hybrid,12.96722976293174
10,2020,sonstige Kraftstoffarten,0.1866982955543841
11,2021,sonstige Kraftstoffarten,0.16925647269510904
12,2020,Gesamt,416.9412229836584
13,2021,Gesamt,422.59519311617555
14,2020,Fossils,408.6880600948867
15,2021,Fossils,406.8434213830984
