,Abfall,weight,Jahr
2564,Getrennt erfasste organische Abfälle,132804.0,2020
2565,Abfälle aus der Biotonne,120094.0,2020
2566,biolog. abbaubare Garten- und Parkabfälle,12710.0,2020
6330,Getrennt erfasste organische Abfälle,116726.0,2019
6331,Abfälle aus der Biotonne,103307.0,2019
6332,biolog. abbaubare Garten- und Parkabfälle,13419.0,2019
10096,Getrennt erfasste organische Abfälle,91480.0,2018
10097,Abfälle aus der Biotonne,77190.0,2018
10098,biolog. abbaubare Garten- und Parkabfälle,14290.0,2018
13862,Getrennt erfasste organische Abfälle,90696.0,2017
13863,Abfälle aus der Biotonne,76366.0,2017
13864,biolog. abbaubare Garten- und Parkabfälle,14330.0,2017
17628,Getrennt erfasste organische Abfälle,85329.0,2016
17629,Abfälle aus der Biotonne,72161.0,2016
17630,biolog. abbaubare Garten- und Parkabfälle,13168.0,2016
21394,Getrennt erfasste organische Abfälle,80542.0,2015
21395,Abfälle aus der Biotonne,67798.0,2015
21396,biolog. abbaubare Garten- und Parkabfälle,12744.0,2015
25160,Getrennt erfasste organische Abfälle,79078.0,2014
25161,Abfälle aus der Biotonne,66901.0,2014
25162,biolog. abbaubare Garten- und Parkabfälle,12177.0,2014
28926,Getrennt erfasste organische Abfälle,134455.0,2013
28927,Abfälle aus der Biotonne,63296.0,2013
28928,biolog. abbaubare Garten- und Parkabfälle,71159.0,2013
32692,Getrennt erfasste organische Abfälle,126499.0,2012
32693,Abfälle aus der Biotonne,62230.0,2012
32694,biolog. abbaubare Garten- und Parkabfälle,64269.0,2012
36458,Getrennt erfasste organische Abfälle,127022.0,2011
36459,Abfälle aus der Biotonne,61750.0,2011
36460,biolog. abbaubare Garten- und Parkabfälle,65272.0,2011
40224,Getrennt erfasste organische Abfälle,114581.0,2010
40225,Abfälle aus der Biotonne,58155.0,2010
40226,biolog. abbaubare Garten- und Parkabfälle,56426.0,2010
43990,Getrennt erfasste organische Abfälle,126432.0,2009
43991,Abfälle aus der Biotonne,58655.0,2009
43992,biolog. abbaubare Garten- und Parkabfälle,67777.0,2009
47756,Getrennt erfasste organische Abfälle,110158.0,2008
47757,Abfälle aus der Biotonne,52425.0,2008
47758,biolog. abbaubare Garten- und Parkabfälle,57733.0,2008
51522,Getrennt erfasste organische Abfälle,121306.0,2007
51523,Abfälle aus der Biotonne,52777.0,2007
51524,biolog. abbaubare Garten- und Parkabfälle,68529.0,2007
55288,Getrennt erfasste organische Abfälle,118990.0,2006
55289,Abfälle aus der Biotonne,51987.0,2006
55290,biolog. abbaubare Garten- und Parkabfälle,67003.0,2006
59054,Getrennt erfasste organische Abfälle,113835.0,2005
59055,Abfälle aus der Biotonne,52150.0,2005
59056,biolog. abbaubare Garten- und Parkabfälle,61685.0,2005
62820,Getrennt erfasste organische Abfälle,99244.0,2004
62821,Abfälle aus der Biotonne,51850.0,2004
62822,biolog. abbaubare Garten- und Parkabfälle,47394.0,2004
