,Abfall,weight,Jahr
2389,Getrennt erfasste organische Abfälle,22327.0,2020
2390,Abfälle aus der Biotonne,7477.0,2020
2391,biolog. abbaubare Garten- und Parkabfälle,14850.0,2020
6155,Getrennt erfasste organische Abfälle,21584.0,2019
6156,Abfälle aus der Biotonne,7032.0,2019
6157,biolog. abbaubare Garten- und Parkabfälle,14552.0,2019
9921,Getrennt erfasste organische Abfälle,21746.0,2018
9922,Abfälle aus der Biotonne,7101.0,2018
9923,biolog. abbaubare Garten- und Parkabfälle,14645.0,2018
13687,Getrennt erfasste organische Abfälle,21437.0,2017
13688,Abfälle aus der Biotonne,7222.0,2017
13689,biolog. abbaubare Garten- und Parkabfälle,14215.0,2017
17453,Getrennt erfasste organische Abfälle,20578.0,2016
17454,Abfälle aus der Biotonne,7340.0,2016
17455,biolog. abbaubare Garten- und Parkabfälle,13238.0,2016
21219,Getrennt erfasste organische Abfälle,20197.0,2015
21220,Abfälle aus der Biotonne,7161.0,2015
21221,biolog. abbaubare Garten- und Parkabfälle,13036.0,2015
24985,Getrennt erfasste organische Abfälle,22176.0,2014
24986,Abfälle aus der Biotonne,7189.0,2014
24987,biolog. abbaubare Garten- und Parkabfälle,14987.0,2014
28751,Getrennt erfasste organische Abfälle,19372.0,2013
28752,Abfälle aus der Biotonne,7012.0,2013
28753,biolog. abbaubare Garten- und Parkabfälle,12360.0,2013
32517,Getrennt erfasste organische Abfälle,20536.0,2012
32518,Abfälle aus der Biotonne,7114.0,2012
32519,biolog. abbaubare Garten- und Parkabfälle,13422.0,2012
36283,Getrennt erfasste organische Abfälle,20934.0,2011
36284,Abfälle aus der Biotonne,7293.0,2011
36285,biolog. abbaubare Garten- und Parkabfälle,13641.0,2011
40049,Getrennt erfasste organische Abfälle,18141.0,2010
40050,Abfälle aus der Biotonne,7244.0,2010
40051,biolog. abbaubare Garten- und Parkabfälle,10897.0,2010
43815,Getrennt erfasste organische Abfälle,21750.0,2009
43816,Abfälle aus der Biotonne,7347.0,2009
43817,biolog. abbaubare Garten- und Parkabfälle,14403.0,2009
47581,Getrennt erfasste organische Abfälle,24152.0,2008
47582,Abfälle aus der Biotonne,7011.0,2008
47583,biolog. abbaubare Garten- und Parkabfälle,17141.0,2008
51347,Getrennt erfasste organische Abfälle,21165.0,2007
51348,Abfälle aus der Biotonne,6985.0,2007
51349,biolog. abbaubare Garten- und Parkabfälle,14180.0,2007
55113,Getrennt erfasste organische Abfälle,21163.0,2006
55114,Abfälle aus der Biotonne,7154.0,2006
55115,biolog. abbaubare Garten- und Parkabfälle,14009.0,2006
58879,Getrennt erfasste organische Abfälle,18662.0,2005
58880,Abfälle aus der Biotonne,6867.0,2005
58881,biolog. abbaubare Garten- und Parkabfälle,11795.0,2005
62645,Getrennt erfasste organische Abfälle,19564.0,2004
62646,Abfälle aus der Biotonne,7329.0,2004
62647,biolog. abbaubare Garten- und Parkabfälle,12235.0,2004
